variant,age,time_on_site,device,converted
A,26,93.82,Desktop,0
B,53,106.47,Mobile,0
A,23,120.37,Desktop,0
A,41,109.6,Mobile,0
A,43,94.18,Mobile,0
B,51,101.56,Desktop,0
A,18,78.81,Desktop,0
A,40,110.37,Mobile,0
A,34,91.96,Mobile,0
B,53,76.3,Mobile,1
A,54,94.47,Mobile,0
A,37,103.75,Desktop,0
A,43,119.99,Desktop,0
A,28,99.31,Mobile,0
B,37,60.75,Mobile,0
A,18,96.34,Desktop,0
B,30,95.9,Desktop,0
B,53,81.77,Desktop,0
B,55,83.4,Desktop,0
A,30,121.48,Mobile,0
B,31,107.2,Desktop,1
A,29,121.43,Mobile,0
B,51,115.84,Mobile,0
B,44,98.54,Mobile,0
B,29,107.34,Desktop,0
B,55,98.03,Desktop,0
B,53,90.16,Desktop,0
B,18,71.52,Desktop,1
B,43,91.45,Desktop,0
B,57,124.32,Desktop,0
A,57,69.75,Mobile,0
A,38,106.5,Desktop,0
B,49,74.27,Mobile,0
B,42,86.14,Desktop,1
B,29,107.42,Mobile,0
A,42,98.52,Mobile,0
B,43,111.34,Desktop,1
A,53,91.56,Mobile,0
A,33,100.17,Desktop,0
A,31,94.19,Mobile,0
A,51,95.7,Mobile,0
A,41,119.93,Desktop,0
B,25,113.33,Desktop,0
B,44,73.07,Desktop,0
B,56,110.74,Desktop,0
B,30,120.19,Mobile,1
B,46,89.03,Desktop,0
A,48,92.76,Mobile,0
B,36,86.11,Mobile,0
B,27,91.19,Desktop,0
A,57,97.6,Mobile,0
B,51,108.33,Mobile,0
A,18,101.5,Desktop,0
B,36,109.17,Mobile,0
A,18,111.54,Mobile,0
B,41,105.36,Desktop,1
B,42,136.97,Mobile,0
A,21,89.94,Desktop,0
A,41,131.42,Mobile,1
A,56,73.08,Desktop,0
A,37,92.34,Mobile,0
A,50,100.35,Mobile,0
A,45,92.84,Desktop,0
A,52,118.27,Desktop,0
A,41,59.79,Mobile,0
B,57,86.83,Desktop,0
B,19,84.5,Desktop,0
A,40,28.19,Desktop,1
B,50,72.45,Mobile,0
B,31,129.36,Desktop,0
B,32,89.56,Mobile,0
B,49,72.47,Mobile,0
A,40,114.01,Desktop,0
B,21,63.35,Mobile,0
A,37,118.9,Mobile,0
B,48,119.73,Desktop,0
B,24,96.59,Desktop,0
B,18,104.53,Mobile,0
A,22,147.17,Mobile,0
B,31,101.25,Mobile,0
A,47,144.67,Mobile,0
B,55,104.92,Mobile,0
A,40,101.97,Mobile,0
B,24,53.26,Mobile,0
A,56,93.85,Mobile,0
A,33,100.29,Desktop,0
B,26,134.63,Desktop,0
A,56,113.61,Mobile,1
B,51,115.26,Mobile,0
B,48,95.92,Mobile,0
B,24,121.07,Mobile,0
B,19,129.18,Desktop,0
B,23,89.45,Mobile,1
B,51,99.21,Mobile,1
B,34,95.66,Mobile,0
B,43,88.73,Mobile,0
B,29,77.13,Desktop,0
B,37,125.84,Desktop,0
B,58,111.15,Mobile,0
A,52,97.83,Desktop,0
A,52,73.03,Mobile,0
B,46,118.86,Mobile,0
B,55,108.86,Mobile,0
B,48,96.83,Desktop,0
B,57,59.39,Desktop,0
B,30,64.96,Desktop,0
B,43,81.48,Desktop,0
B,39,76.74,Desktop,0
B,25,114.1,Desktop,0
A,57,111.64,Desktop,0
B,24,123.16,Desktop,0
A,22,79.93,Desktop,0
B,18,93.25,Mobile,0
B,57,101.7,Mobile,0
A,28,107.0,Desktop,0
B,49,119.28,Mobile,0
A,24,128.32,Mobile,0
B,46,143.08,Mobile,0
B,47,87.8,Desktop,0
A,38,104.83,Desktop,0
B,56,84.04,Desktop,1
A,58,121.11,Mobile,0
B,56,89.43,Desktop,1
A,37,98.19,Desktop,0
A,39,105.87,Mobile,0
B,46,93.07,Mobile,0
B,21,127.61,Desktop,0
A,20,83.8,Desktop,0
B,26,118.9,Mobile,0
B,22,93.49,Desktop,0
B,20,59.43,Desktop,1
A,42,97.8,Desktop,1
A,49,106.68,Desktop,0
A,50,128.06,Desktop,0
